,CountryCode,Language,IsOfficial,Percentage
0,ABW,Dutch,T,5.3
1,ABW,English,F,9.5
2,ABW,Papiamento,F,76.7
3,ABW,Spanish,F,7.4
4,AFG,Balochi,F,0.9
5,AFG,Dari,T,32.1
6,AFG,Pashto,T,52.4
7,AFG,Turkmenian,F,1.9
8,AFG,Uzbek,F,8.8
9,AGO,Ambo,F,2.4
10,AGO,Chokwe,F,4.2
11,AGO,Kongo,F,13.2
12,AGO,Luchazi,F,2.4
13,AGO,Luimbe-nganguela,F,5.4
14,AGO,Luvale,F,3.6
15,AGO,Mbundu,F,21.6
16,AGO,Nyaneka-nkhumbi,F,5.4
17,AGO,Ovimbundu,F,37.2
18,AIA,English,T,0.0
19,ALB,Albaniana,T,97.9
20,ALB,Greek,F,1.8
21,ALB,Macedonian,F,0.1
22,AND,Catalan,T,32.3
23,AND,French,F,6.2
24,AND,Portuguese,F,10.8
25,AND,Spanish,F,44.6
26,ANT,Dutch,T,0.0
27,ANT,English,F,7.8
28,ANT,Papiamento,T,86.2
29,ARE,Arabic,T,42.0
30,ARE,Hindi,F,0.0
31,ARG,Indian Languages,F,0.3
32,ARG,Italian,F,1.7
33,ARG,Spanish,T,96.8
34,ARM,Armenian,T,93.4
35,ARM,Azerbaijani,F,2.6
36,ASM,English,T,3.1
37,ASM,Samoan,T,90.6
38,ASM,Tongan,F,3.1
39,ATG,Creole English,F,95.7
40,ATG,English,T,0.0
41,AUS,Arabic,F,1.0
42,AUS,Canton Chinese,F,1.1
43,AUS,English,T,81.2
44,AUS,German,F,0.6
45,AUS,Greek,F,1.6
46,AUS,Italian,F,2.2
47,AUS,Serbo-Croatian,F,0.6
48,AUS,Vietnamese,F,0.8
49,AUT,Czech,F,0.2
50,AUT,German,T,92.0
51,AUT,Hungarian,F,0.4
52,AUT,Polish,F,0.2
53,AUT,Romanian,F,0.2
54,AUT,Serbo-Croatian,F,2.2
55,AUT,Slovene,F,0.4
56,AUT,Turkish,F,1.5
57,AZE,Armenian,F,2.0
58,AZE,Azerbaijani,T,89.0
59,AZE,Lezgian,F,2.3
60,AZE,Russian,F,3.0
61,BDI,French,T,0.0
62,BDI,Kirundi,T,98.1
63,BDI,Swahili,F,0.0
64,BEL,Arabic,F,1.6
65,BEL,Dutch,T,59.2
66,BEL,French,T,32.6
67,BEL,German,T,1.0
68,BEL,Italian,F,2.4
69,BEL,Turkish,F,0.9
70,BEN,Adja,F,11.1
71,BEN,Aizo,F,8.7
72,BEN,Bariba,F,8.7
73,BEN,Fon,F,39.8
74,BEN,Ful,F,5.6
75,BEN,Joruba,F,12.2
76,BEN,Somba,F,6.7
77,BFA,Busansi,F,3.5
78,BFA,Dagara,F,3.1
79,BFA,Dyula,F,2.6
80,BFA,Ful,F,9.7
81,BFA,Gurma,F,5.7
82,BFA,Mossi,F,50.2
83,BGD,Bengali,T,97.7
84,BGD,Chakma,F,0.4
85,BGD,Garo,F,0.1
86,BGD,Khasi,F,0.1
87,BGD,Marma,F,0.2
88,BGD,Santhali,F,0.1
89,BGD,Tripuri,F,0.1
90,BGR,Bulgariana,T,83.2
91,BGR,Macedonian,F,2.6
92,BGR,Romani,F,3.7
93,BGR,Turkish,F,9.4
94,BHR,Arabic,T,67.7
95,BHR,English,F,0.0
96,BHS,Creole English,F,89.7
97,BHS,Creole French,F,10.3
98,BIH,Serbo-Croatian,T,99.2
99,BLR,Belorussian,T,65.6
100,BLR,Polish,F,0.6
101,BLR,Russian,T,32.0
102,BLR,Ukrainian,F,1.3
103,BLZ,English,T,50.8
104,BLZ,Garifuna,F,6.8
105,BLZ,Maya Languages,F,9.6
106,BLZ,Spanish,F,31.6
107,BMU,English,T,100.0
108,BOL,Aimará,T,3.2
109,BOL,Guaraní,F,0.1
110,BOL,Ketšua,T,8.1
111,BOL,Spanish,T,87.7
112,BRA,German,F,0.5
113,BRA,Indian Languages,F,0.2
114,BRA,Italian,F,0.4
115,BRA,Japanese,F,0.4
116,BRA,Portuguese,T,97.5
117,BRB,Bajan,F,95.1
118,BRB,English,T,0.0
119,BRN,Chinese,F,9.3
120,BRN,English,F,3.1
121,BRN,Malay,T,45.5
122,BRN,Malay-English,F,28.8
123,BTN,Asami,F,15.2
124,BTN,Dzongkha,T,50.0
125,BTN,Nepali,F,34.8
126,BWA,Khoekhoe,F,2.5
127,BWA,Ndebele,F,1.3
128,BWA,San,F,3.5
129,BWA,Shona,F,12.3
130,BWA,Tswana,F,75.5
131,CAF,Banda,F,23.5
132,CAF,Gbaya,F,23.8
133,CAF,Mandjia,F,14.8
134,CAF,Mbum,F,6.4
135,CAF,Ngbaka,F,7.5
136,CAF,Sara,F,6.4
137,CAN,Chinese,F,2.5
138,CAN,Dutch,F,0.5
139,CAN,English,T,60.4
140,CAN,Eskimo Languages,F,0.1
141,CAN,French,T,23.4
142,CAN,German,F,1.6
143,CAN,Italian,F,1.7
144,CAN,Polish,F,0.7
145,CAN,Portuguese,F,0.7
146,CAN,Punjabi,F,0.7
147,CAN,Spanish,F,0.7
148,CAN,Ukrainian,F,0.6
149,CCK,English,T,0.0
150,CCK,Malay,F,0.0
151,CHE,French,T,19.2
152,CHE,German,T,63.6
153,CHE,Italian,T,7.7
154,CHE,Romansh,T,0.6
155,CHL,Aimará,F,0.5
156,CHL,Araucan,F,9.6
157,CHL,Rapa nui,F,0.2
158,CHL,Spanish,T,89.7
159,CHN,Chinese,T,92.0
160,CHN,Dong,F,0.2
161,CHN,Hui,F,0.8
162,CHN,Mantšu,F,0.9
163,CHN,Miao,F,0.7
164,CHN,Mongolian,F,0.4
165,CHN,Puyi,F,0.2
166,CHN,Tibetan,F,0.4
167,CHN,Tujia,F,0.5
168,CHN,Uighur,F,0.6
169,CHN,Yi,F,0.6
170,CHN,Zhuang,F,1.4
171,CIV,Akan,F,30.0
172,CIV,Gur,F,11.7
173,CIV,Kru,F,10.5
174,CIV,Malinke,F,11.4
175,CIV,[South]Mande,F,7.7
176,CMR,Bamileke-bamum,F,18.6
177,CMR,Duala,F,10.9
178,CMR,Fang,F,19.7
179,CMR,Ful,F,9.6
180,CMR,Maka,F,4.9
181,CMR,Mandara,F,5.7
182,CMR,Masana,F,3.9
183,CMR,Tikar,F,7.4
184,COD,Boa,F,2.3
185,COD,Chokwe,F,1.8
186,COD,Kongo,F,16.0
187,COD,Luba,F,18.0
188,COD,Mongo,F,13.5
189,COD,Ngala and Bangi,F,5.8
190,COD,Rundi,F,3.8
191,COD,Rwanda,F,10.3
192,COD,Teke,F,2.7
193,COD,Zande,F,6.1
194,COG,Kongo,F,51.5
195,COG,Mbete,F,4.8
196,COG,Mboshi,F,11.4
197,COG,Punu,F,2.9
198,COG,Sango,F,2.6
199,COG,Teke,F,17.3
200,COK,English,F,0.0
201,COK,Maori,T,0.0
202,COL,Arawakan,F,0.1
203,COL,Caribbean,F,0.1
204,COL,Chibcha,F,0.4
205,COL,Creole English,F,0.1
206,COL,Spanish,T,99.0
207,COM,Comorian,T,75.0
208,COM,Comorian-Arabic,F,1.6
209,COM,Comorian-French,F,12.9
210,COM,Comorian-madagassi,F,5.5
211,COM,Comorian-Swahili,F,0.5
212,CPV,Crioulo,F,100.0
213,CPV,Portuguese,T,0.0
214,CRI,Chibcha,F,0.3
215,CRI,Chinese,F,0.2
216,CRI,Creole English,F,2.0
217,CRI,Spanish,T,97.5
218,CUB,Spanish,T,100.0
219,CXR,Chinese,F,0.0
220,CXR,English,T,0.0
221,CYM,English,T,0.0
222,CYP,Greek,T,74.1
223,CYP,Turkish,T,22.4
224,CZE,Czech,T,81.2
225,CZE,German,F,0.5
226,CZE,Hungarian,F,0.2
227,CZE,Moravian,F,12.9
228,CZE,Polish,F,0.6
229,CZE,Romani,F,0.3
230,CZE,Silesiana,F,0.4
231,CZE,Slovak,F,3.1
232,DEU,German,T,91.3
233,DEU,Greek,F,0.4
234,DEU,Italian,F,0.7
235,DEU,Polish,F,0.3
236,DEU,Southern Slavic Languages,F,1.4
237,DEU,Turkish,F,2.6
238,DJI,Afar,F,34.8
239,DJI,Arabic,T,10.6
240,DJI,Somali,F,43.9
241,DMA,Creole English,F,100.0
242,DMA,Creole French,F,0.0
243,DNK,Arabic,F,0.7
244,DNK,Danish,T,93.5
245,DNK,English,F,0.3
246,DNK,German,F,0.5
247,DNK,Norwegian,F,0.3
248,DNK,Swedish,F,0.3
249,DNK,Turkish,F,0.8
250,DOM,Creole French,F,2.0
251,DOM,Spanish,T,98.0
252,DZA,Arabic,T,86.0
253,DZA,Berberi,F,14.0
254,ECU,Ketšua,F,7.0
255,ECU,Spanish,T,93.0
256,EGY,Arabic,T,98.8
257,EGY,Sinaberberi,F,0.0
258,ERI,Afar,F,4.3
259,ERI,Bilin,F,3.0
260,ERI,Hadareb,F,3.8
261,ERI,Saho,F,3.0
262,ERI,Tigre,F,31.7
263,ERI,Tigrinja,T,49.1
264,ESH,Arabic,T,100.0
265,ESP,Basque,F,1.6
266,ESP,Catalan,F,16.9
267,ESP,Galecian,F,6.4
268,ESP,Spanish,T,74.4
269,EST,Belorussian,F,1.4
270,EST,Estonian,T,65.3
271,EST,Finnish,F,0.7
272,EST,Russian,F,27.8
273,EST,Ukrainian,F,2.8
274,ETH,Amhara,F,30.0
275,ETH,Gurage,F,4.7
276,ETH,Oromo,F,31.0
277,ETH,Sidamo,F,3.2
278,ETH,Somali,F,4.1
279,ETH,Tigrinja,F,7.2
280,ETH,Walaita,F,2.8
281,FIN,Estonian,F,0.2
282,FIN,Finnish,T,92.7
283,FIN,Russian,F,0.4
284,FIN,Saame,F,0.0
285,FIN,Swedish,T,5.7
286,FJI,Fijian,T,50.8
287,FJI,Hindi,F,43.7
288,FLK,English,T,0.0
289,FRA,Arabic,F,2.5
290,FRA,French,T,93.6
291,FRA,Italian,F,0.4
292,FRA,Portuguese,F,1.2
293,FRA,Spanish,F,0.4
294,FRA,Turkish,F,0.4
295,FRO,Danish,T,0.0
296,FRO,Faroese,T,100.0
297,FSM,Kosrean,F,7.3
298,FSM,Mortlock,F,7.6
299,FSM,Pohnpei,F,23.8
300,FSM,Trukese,F,41.6
301,FSM,Wolea,F,3.7
302,FSM,Yap,F,5.8
303,GAB,Fang,F,35.8
304,GAB,Mbete,F,13.8
305,GAB,Mpongwe,F,14.6
306,GAB,Punu-sira-nzebi,F,17.1
307,GBR,English,T,97.3
308,GBR,Gaeli,F,0.1
309,GBR,Kymri,F,0.9
310,GEO,Abhyasi,F,1.7
311,GEO,Armenian,F,6.8
312,GEO,Azerbaijani,F,5.5
313,GEO,Georgiana,T,71.7
314,GEO,Osseetti,F,2.4
315,GEO,Russian,F,8.8
316,GHA,Akan,F,52.4
317,GHA,Ewe,F,11.9
318,GHA,Ga-adangme,F,7.8
319,GHA,Gurma,F,3.3
320,GHA,Joruba,F,1.3
321,GHA,Mossi,F,15.8
322,GIB,Arabic,F,7.4
323,GIB,English,T,88.9
324,GIN,Ful,F,38.6
325,GIN,Kissi,F,6.0
326,GIN,Kpelle,F,4.6
327,GIN,Loma,F,2.3
328,GIN,Malinke,F,23.2
329,GIN,Susu,F,11.0
330,GIN,Yalunka,F,2.9
331,GLP,Creole French,F,95.0
332,GLP,French,T,0.0
333,GMB,Diola,F,9.2
334,GMB,Ful,F,16.2
335,GMB,Malinke,F,34.1
336,GMB,Soninke,F,7.6
337,GMB,Wolof,F,12.6
338,GNB,Balante,F,14.6
339,GNB,Crioulo,F,36.4
340,GNB,Ful,F,16.6
341,GNB,Malinke,F,6.9
342,GNB,Mandyako,F,4.9
343,GNB,Portuguese,T,8.1
344,GNQ,Bubi,F,8.7
345,GNQ,Fang,F,84.8
346,GRC,Greek,T,98.5
347,GRC,Turkish,F,0.9
348,GRD,Creole English,F,100.0
349,GRL,Danish,T,12.5
350,GRL,Greenlandic,T,87.5
351,GTM,Cakchiquel,F,8.9
352,GTM,Kekchí,F,4.9
353,GTM,Mam,F,2.7
354,GTM,Quiché,F,10.1
355,GTM,Spanish,T,64.7
356,GUF,Creole French,F,94.3
357,GUF,Indian Languages,F,1.9
358,GUM,Chamorro,T,29.6
359,GUM,English,T,37.5
360,GUM,Japanese,F,2.0
361,GUM,Korean,F,3.3
362,GUM,Philippene Languages,F,19.7
363,GUY,Arawakan,F,1.4
364,GUY,Caribbean,F,2.2
365,GUY,Creole English,F,96.4
366,HKG,Canton Chinese,F,88.7
367,HKG,Chiu chau,F,1.4
368,HKG,English,T,2.2
369,HKG,Fukien,F,1.9
370,HKG,Hakka,F,1.6
371,HND,Creole English,F,0.2
372,HND,Garifuna,F,1.3
373,HND,Miskito,F,0.2
374,HND,Spanish,T,97.2
375,HRV,Serbo-Croatian,T,95.9
376,HRV,Slovene,F,0.0
377,HTI,French,T,0.0
378,HTI,Haiti Creole,F,100.0
379,HUN,German,F,0.4
380,HUN,Hungarian,T,98.5
381,HUN,Romani,F,0.5
382,HUN,Romanian,F,0.1
383,HUN,Serbo-Croatian,F,0.2
384,HUN,Slovak,F,0.1
385,IDN,Bali,F,1.7
386,IDN,Banja,F,1.8
387,IDN,Batakki,F,2.2
388,IDN,Bugi,F,2.2
389,IDN,Javanese,F,39.4
390,IDN,Madura,F,4.3
391,IDN,Malay,T,12.1
392,IDN,Minangkabau,F,2.4
393,IDN,Sunda,F,15.8
394,IND,Asami,F,1.5
395,IND,Bengali,F,8.2
396,IND,Gujarati,F,4.8
397,IND,Hindi,T,39.9
398,IND,Kannada,F,3.9
399,IND,Malajalam,F,3.6
400,IND,Marathi,F,7.4
401,IND,Orija,F,3.3
402,IND,Punjabi,F,2.8
403,IND,Tamil,F,6.3
404,IND,Telugu,F,7.8
405,IND,Urdu,F,5.1
406,IRL,English,T,98.4
407,IRL,Irish,T,1.6
408,IRN,Arabic,F,2.2
409,IRN,Azerbaijani,F,16.8
410,IRN,Bakhtyari,F,1.7
411,IRN,Balochi,F,2.3
412,IRN,Gilaki,F,5.3
413,IRN,Kurdish,F,9.1
414,IRN,Luri,F,4.3
415,IRN,Mazandarani,F,3.6
416,IRN,Persian,T,45.7
417,IRN,Turkmenian,F,1.6
418,IRQ,Arabic,T,77.2
419,IRQ,Assyrian,F,0.8
420,IRQ,Azerbaijani,F,1.7
421,IRQ,Kurdish,F,19.0
422,IRQ,Persian,F,0.8
423,ISL,English,F,0.0
424,ISL,Icelandic,T,95.7
425,ISR,Arabic,T,18.0
426,ISR,Hebrew,T,63.1
427,ISR,Russian,F,8.9
428,ITA,Albaniana,F,0.2
429,ITA,French,F,0.5
430,ITA,Friuli,F,1.2
431,ITA,German,F,0.5
432,ITA,Italian,T,94.1
433,ITA,Romani,F,0.2
434,ITA,Sardinian,F,2.7
435,ITA,Slovene,F,0.2
436,JAM,Creole English,F,94.2
437,JAM,Hindi,F,1.9
438,JOR,Arabic,T,97.9
439,JOR,Armenian,F,1.0
440,JOR,Circassian,F,1.0
441,JPN,Ainu,F,0.0
442,JPN,Chinese,F,0.2
443,JPN,English,F,0.1
444,JPN,Japanese,T,99.1
445,JPN,Korean,F,0.5
446,JPN,Philippene Languages,F,0.1
447,KAZ,German,F,3.1
448,KAZ,Kazakh,T,46.0
449,KAZ,Russian,F,34.7
450,KAZ,Tatar,F,2.0
451,KAZ,Ukrainian,F,5.0
452,KAZ,Uzbek,F,2.3
453,KEN,Gusii,F,6.1
454,KEN,Kalenjin,F,10.8
455,KEN,Kamba,F,11.2
456,KEN,Kikuyu,F,20.9
457,KEN,Luhya,F,13.8
458,KEN,Luo,F,12.8
459,KEN,Masai,F,1.6
460,KEN,Meru,F,5.5
461,KEN,Nyika,F,4.8
462,KEN,Turkana,F,1.4
463,KGZ,Kazakh,F,0.8
464,KGZ,Kirgiz,T,59.7
465,KGZ,Russian,T,16.2
466,KGZ,Tadzhik,F,0.8
467,KGZ,Tatar,F,1.3
468,KGZ,Ukrainian,F,1.7
469,KGZ,Uzbek,F,14.1
470,KHM,Chinese,F,3.1
471,KHM,Khmer,T,88.6
472,KHM,Tšam,F,2.4
473,KHM,Vietnamese,F,5.5
474,KIR,Kiribati,T,98.9
475,KIR,Tuvalu,F,0.5
476,KNA,Creole English,F,100.0
477,KNA,English,T,0.0
478,KOR,Chinese,F,0.1
479,KOR,Korean,T,99.9
480,KWT,Arabic,T,78.1
481,KWT,English,F,0.0
482,LAO,Lao,T,67.2
483,LAO,Lao-Soung,F,5.2
484,LAO,Mon-khmer,F,16.5
485,LAO,Thai,F,7.8
486,LBN,Arabic,T,93.0
487,LBN,Armenian,F,5.9
488,LBN,French,F,0.0
489,LBR,Bassa,F,13.7
490,LBR,Gio,F,7.9
491,LBR,Grebo,F,8.9
492,LBR,Kpelle,F,19.5
